date,run,ball,min
21 June 2015,23,27,57
18 June 2015,1,4,9
26 March 2015,1,13,11
19 March 2015,3,8,0
14 March 2015,38,48,71
14 March 2015,44,42,64
14 March 2015,33,36,51
14 March 2015,33,41,47
14 March 2015,46,60,106
14 March 2015,107,126,168
30 January 2015,8,19,26
30 January 2015,3,9,8
30 January 2015,4,8,13
30 January 2015,9,16,24
16 November 2014,139,126,192
13 November 2014,66,64,109
9 November 2014,53,61,0
6 November 2014,49,44,0
2 November 2014,22,21,34
17 October 2014,127,114,0
11 October 2014,62,78,124
8 October 2014,2,5,5
5 September 2014,13,21,25
2 September 2014,1,3,9
30 August 2014,40,50,67
27 August 2014,0,3,1
5 March 2014,5,11,29
5 March 2014,48,51,66
5 March 2014,136,122,157
31 January 2014,82,78,129
28 January 2014,2,10,14
25 January 2014,6,20,27
22 January 2014,78,65,88
19 January 2014,123,111,180
8 December 2013,0,5,7
5 December 2013,31,35,41
27 November 2013,19,18,19
24 November 2013,99,100,158
21 November 2013,86,84,119
2 November 2013,0,3,4
30 October 2013,115,66,104
19 October 2013,68,73,121
16 October 2013,100,52,82
13 October 2013,61,85,121
28 July 2013,68,88,128
26 July 2013,14,18,35
24 July 2013,115,108,133
11 July 2013,2,5,8
9 July 2013,31,52,62
9 July 2013,102,83,120
9 July 2013,2,5,6
9 July 2013,11,21,19
23 June 2013,43,34,66
20 June 2013,58,64,80
15 June 2013,22,27,36
15 June 2013,22,18,18
15 June 2013,31,41,46
27 January 2013,0,1,1
23 January 2013,26,33,44
19 January 2013,77,79,110
15 January 2013,37,54,86
11 January 2013,15,22,45
6 January 2013,7,17,25
3 January 2013,6,9,12
30 December 2012,0,5,9
4 August 2012,23,35,42
31 July 2012,128,119,187
28 July 2012,38,65,80
24 July 2012,1,5,6
21 July 2012,106,113,158
18 March 2012,183,148,211
18 March 2012,66,82,126
18 March 2012,108,120,148
28 February 2012,133,86,133
28 February 2012,21,27,36
28 February 2012,66,83,116
28 February 2012,12,25,44
28 February 2012,15,25,32
28 February 2012,18,28,41
28 February 2012,77,94,156
28 February 2012,31,34,30
11 December 2011,80,85,99
8 December 2011,23,11,14
5 December 2011,20,30,21
2 December 2011,117,123,154
29 November 2011,3,6,13
25 October 2011,0,5,5
23 October 2011,86,99,Â 
20 October 2011,35,30,42
17 October 2011,112,98,134
14 October 2011,37,63,70
16 September 2011,107,93,102
11 September 2011,16,36,40
9 September 2011,7,18,18
6 September 2011,9,9,9
3 September 2011,55,73,92
16 June 2011,94,104,135
13 June 2011,22,33,68
11 June 2011,0,1,1
8 June 2011,81,103,118
6 June 2011,2,8,5
2 April 2011,35,49,69
30 March 2011,9,21,20
24 March 2011,24,33,38
20 March 2011,59,76,128
20 March 2011,1,3,2
20 March 2011,12,20,16
20 March 2011,34,53,82
20 March 2011,8,5,12
20 March 2011,100,83,113
23 January 2011,2,6,11
21 January 2011,87,92,126
18 January 2011,28,41,51
15 January 2011,22,34,43
12 January 2011,54,70,122
10 December 2010,2,8,10
7 December 2010,0,2,3
4 December 2010,63,70,83
1 December 2010,64,73,76
28 November 2010,105,104,162
20 October 2010,118,121,
28 August 2010,37,57,98
25 August 2010,8,16,24
25 August 2010,0,3,
24 June 2010,28,34,57
22 June 2010,10,14,13
22 June 2010,18,27,31
22 June 2010,11,22,33
5 June 2010,68,95,123
5 June 2010,18,29,
5 June 2010,82,92,125
5 June 2010,0,0,2
27 February 2010,57,71,0
21 February 2010,31,46,74
13 January 2010,2,8,6
13 January 2010,102,95,128
13 January 2010,71,68,98
13 January 2010,91,102,136
13 January 2010,9,12,19
24 December 2009,107,114,152
18 December 2009,54,65,93
15 December 2009,27,19,20
2 November 2009,10,16,32
25 October 2009,30,41,53
30 September 2009,79,104,118
26 September 2009,16,24,28
14 September 2009,2,2,6
29 August 2008,31,46,45
27 August 2008,54,66,87
24 August 2008,25,38,40
20 August 2008,37,67,82
18 August 2008,12,22,33
